Zip,Name,MedianIncome,PctHH_100kPlus,PctRenters,Population,AcsYear,Dataset,FetchedAtUtc,Status,ErrorMessage,RentersCount,OccupiedCount,HHCount_100kPlus,HHCountTotal
15639,ZCTA5 15639,77354,62.888,35.722,2028,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,334,935,588,935
15640,ZCTA5 15640,80729,58.678,24.793,360,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,30,121,71,121
15641,ZCTA5 15641,67344,44.444,30.435,484,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,63,207,92,207
15642,ZCTA5 15642,92975,60.800,15.176,46727,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,2948,19426,11811,19426
15644,ZCTA5 15644,64555,41.635,22.669,18675,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,1935,8536,3554,8536
15646,ZCTA5 15646,66486,32.143,5.952,173,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,5,84,27,84
15647,ZCTA5 15647,,100.000,100.000,33,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,8,8,8,8
15650,ZCTA5 15650,63314,41.744,27.361,27367,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,3175,11604,4844,11604
15655,ZCTA5 15655,29426,21.393,39.303,440,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,79,201,43,201
15656,ZCTA5 15656,68750,46.185,20.313,9766,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,844,4155,1919,4155
15658,ZCTA5 15658,78750,52.029,15.036,8114,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,567,3771,1962,3771
15660,ZCTA5 15660,37788,31.148,49.180,125,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,30,61,19,61
15661,ZCTA5 15661,79279,60.756,20.349,831,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,70,344,209,344
15662,ZCTA5 15662,81053,71.350,0.000,928,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,363,259,363
15663,ZCTA5 15663,73594,47.644,10.995,413,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,21,191,91,191
15665,ZCTA5 15665,97589,53.394,2.202,1171,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,12,545,291,545
15666,ZCTA5 15666,64943,42.227,21.120,15420,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,1508,7140,3015,7140
15668,ZCTA5 15668,121743,71.799,6.049,14477,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,343,5670,4071,5670
15670,ZCTA5 15670,78125,51.684,11.933,3166,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,163,1366,706,1366
15671,ZCTA5 15671,53278,36.111,33.681,607,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,97,288,104,288
15672,ZCTA5 15672,70709,45.915,30.047,3440,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,445,1481,680,1481
15673,ZCTA5 15673,64046,40.981,15.236,1184,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,87,571,234,571
