zip,name,median_income,pct_hh_100k_plus,pct_renters,population,acs_year,dataset,fetched_at_utc,status,error_message,renters_count,occupied_count,hh_count_100k_plus,hh_count_total
10452,ZCTA5 10452,37854,24.418,96.651,76745,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,27446,28397,6934,28397
10453,ZCTA5 10453,35482,23.561,95.067,78270,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,27058,28462,6706,28462
10454,ZCTA5 10454,27500,21.382,93.642,40368,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,13962,14910,3188,14910
10455,ZCTA5 10455,36701,24.258,89.661,42940,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,14674,16366,3970,16366
10456,ZCTA5 10456,35676,20.717,93.424,86958,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,30457,32601,6754,32601
10457,ZCTA5 10457,44911,26.285,93.760,79375,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,25048,26715,7022,26715
10458,ZCTA5 10458,42107,25.312,96.070,78741,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,27722,28856,7304,28856
10459,ZCTA5 10459,39276,25.057,88.175,49753,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,15800,17919,4490,17919
10460,ZCTA5 10460,36067,25.992,89.307,61101,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,20303,22734,5909,22734
10461,ZCTA5 10461,65023,44.806,68.603,50900,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,13088,19078,8548,19078
10462,ZCTA5 10462,63460,42.149,77.131,75452,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,22783,29538,12450,29538
10463,ZCTA5 10463,72952,47.405,65.031,69373,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,19233,29575,14020,29575
10464,ZCTA5 10464,100306,63.383,31.091,4273,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,647,2081,1319,2081
10465,ZCTA5 10465,90255,56.180,43.844,46457,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,7112,16221,9113,16221
10466,ZCTA5 10466,66328,46.184,59.405,74061,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,15007,25262,11667,25262
10467,ZCTA5 10467,47806,31.364,86.404,96304,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,33015,38210,11984,38210
10468,ZCTA5 10468,46624,30.530,91.464,79825,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,26166,28608,8734,28608
10469,ZCTA5 10469,76018,50.708,49.360,69855,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,11640,23582,11958,23582
10470,ZCTA5 10470,81134,52.845,56.966,15558,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3774,6625,3501,6625
10471,ZCTA5 10471,108738,67.105,42.510,23400,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3913,9205,6177,9205
10472,ZCTA5 10472,43125,27.043,84.305,63820,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,18505,21950,5936,21950
10473,ZCTA5 10473,50609,35.044,71.664,59778,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,16292,22734,7967,22734
10474,ZCTA5 10474,41279,24.075,91.575,11188,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3587,3917,943,3917
10475,ZCTA5 10475,62383,40.178,55.125,42771,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,10304,18692,7510,18692
10501,ZCTA5 10501,231607,85.928,3.412,1426,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,16,469,403,469
10502,ZCTA5 10502,250001,88.451,15.647,5875,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,294,1879,1662,1879
